PA,SZ,AG,Sex,TOD,Pop,Time
Downtown Core,Bayfront Subzone,85_to_89,Females,HDB 3-Room Flats,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Females,HDB 4-Room Flats,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bayfront Subzone,85_to_89,Females,Landed Properties,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Bayfront Subzone,85_to_89,Females,Others,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Males,HDB 3-Room Flats,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Males,HDB 4-Room Flats,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bayfront Subzone,90_and_over,Males,Landed Properties,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Males,Others,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Females,HDB 3-Room Flats,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Females,HDB 4-Room Flats,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bayfront Subzone,90_and_over,Females,Landed Properties,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Bayfront Subzone,90_and_over,Females,Others,0,2015
Downtown Core,Bugis,65_to_69,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bugis,65_to_69,Males,HDB 3-Room Flats,50,2015
Downtown Core,Bugis,65_to_69,Males,HDB 4-Room Flats,40,2015
Downtown Core,Bugis,65_to_69,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bugis,65_to_69,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bugis,65_to_69,Males,Landed Properties,0,2015
Downtown Core,Bugis,65_to_69,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Bugis,65_to_69,Males,Others,10,2015
Downtown Core,Bugis,65_to_69,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bugis,65_to_69,Females,HDB 3-Room Flats,60,2015
Downtown Core,Bugis,65_to_69,Females,HDB 4-Room Flats,50,2015
Downtown Core,Bugis,65_to_69,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bugis,65_to_69,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bugis,65_to_69,Females,Landed Properties,0,2015
